"POP old	", adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient
"1	",1,0.33,0.67,0.14,0,14,4,18,14
"2	",1,0.38,0,0,0,10,6,16,13
"3	",1,0.29,0,0,0,12,4,16,13
"4	",1,0.19,0.5,0.17,0,17,2,19,17
"5	",1,0.2,0.5,0.04,0,20,3,23,20
"6	",1,0.5,0.83,0.33,0,8,6,14,9
"7	",1,0.33,0.8,0.25,0,12,2,14,13
"8	",1,0.27,0,0,0,16,5,21,16
"9	",1,0.17,0.5,0.11,0,19,1,20,19
"10	",1,0.31,1,0.14,0,11,3,14,11
"avg	",1,0.3,0.48,0.12,0,13.9,3.6,17.5,14.5
"POP new	", adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient
"1	",0.77,0.95,0.5,0.43,6,1,11,18,8
"2	",0.58,0.94,0.21,0.31,11,1,13,25,20
"3	",0.62,0.88,0.25,0.64,9,2,12,23,15
"4	",0.75,1,0,0,7,0,12,19,7
"5	",0.89,1,0,0,3,0,21,24,3
"6	",0.56,0.94,0.25,0.2,12,1,12,25,17
"7	",0.64,1,0,0,10,0,16,26,10
"8	",0.79,0.86,0.25,0.53,5,3,14,22,12
"9	",0.82,1,0,0,5,0,18,23,5
"10	",0.62,1,0.22,0.5,10,0,14,24,16
"avg	",0.7,0.96,0.17,0.26,7.8,0.8,14.3,22.9,11.3
