POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.27,0.12,0.05,0.00,19.00,7.00,26.00,22.00						
2	,1.00,0.27,0.00,0.00,0.00,19.00,5.00,24.00,20.00						
3	,1.00,0.19,0.67,0.10,0.00,21.00,2.00,23.00,21.00						
4	,1.00,0.22,0.14,0.07,0.00,21.00,6.00,27.00,21.00						
5	,1.00,0.19,0.50,0.25,0.00,22.00,3.00,25.00,22.00						
6	,1.00,0.18,0.00,0.00,0.00,23.00,4.00,27.00,23.00						
7	,1.00,0.21,0.00,0.00,0.00,22.00,4.00,26.00,22.00						
8	,1.00,0.19,0.00,0.00,0.00,21.00,3.00,24.00,21.00						
9	,1.00,0.25,0.00,0.00,0.00,21.00,4.00,25.00,21.00						
10	,1.00,0.14,0.00,0.00,0.00,24.00,0.00,24.00,24.00						
avg	,1.00,0.21,0.14,0.05,0.00,21.30,3.80,25.10,21.70						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.96,0.39,0.55,0.00,1.00,21.00,22.00,10.00						
2	,0.93,1.00,0.00,0.00,2.00,0.00,15.00,17.00,2.00						
3	,0.93,1.00,0.00,0.00,2.00,0.00,20.00,22.00,2.00						
4	,1.00,0.93,0.27,0.53,0.00,2.00,22.00,24.00,5.00						
5	,0.96,1.00,0.00,0.00,1.00,0.00,12.00,13.00,1.00						
6	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
7	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
8	,0.93,1.00,0.00,0.00,2.00,0.00,0.00,2.00,2.00						
9	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
10	,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00						
avg	,0.97,0.99,0.07,0.11,0.70,0.30,9.00,10.00,2.20						

