POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.24,0.50,0.21,0.00,16.00,4.00,20.00,17.00						
2	,1.00,0.44,0.60,0.19,0.00,9.00,4.00,13.00,11.00						
3	,1.00,0.35,0.00,0.00,0.00,11.00,6.00,17.00,14.00						
4	,1.00,0.32,0.57,0.24,0.00,15.00,5.00,20.00,17.00						
5	,1.00,0.21,0.00,0.00,0.00,15.00,4.00,19.00,16.00						
6	,1.00,0.27,0.29,0.13,0.00,19.00,5.00,24.00,21.00						
7	,1.00,0.28,0.25,0.06,0.00,13.00,5.00,18.00,15.00						
8	,1.00,0.19,0.00,0.00,0.00,13.00,2.00,15.00,13.00						
9	,1.00,0.22,1.00,0.14,0.00,14.00,1.00,15.00,14.00						
10	,1.00,0.47,0.50,0.27,0.00,9.00,6.00,15.00,13.00						
avg	,1.00,0.30,0.37,0.12,0.00,13.40,4.20,17.60,15.10						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,0.75,1.00,0.00,0.00,7.00,0.00,14.00,21.00,7.00						
2	,0.57,1.00,0.00,0.00,12.00,0.00,15.00,27.00,12.00						
3	,0.61,1.00,0.00,0.00,11.00,0.00,15.00,26.00,11.00						
4	,0.79,1.00,0.00,0.00,6.00,0.00,17.00,23.00,6.00						
5	,0.68,1.00,0.00,0.00,9.00,0.00,17.00,26.00,9.00						
6	,0.93,1.00,0.00,0.00,2.00,0.00,15.00,17.00,2.00						
7	,0.64,1.00,0.00,0.00,10.00,0.00,16.00,26.00,10.00						
8	,0.57,1.00,0.00,0.00,12.00,0.00,15.00,27.00,12.00						
9	,0.64,1.00,0.00,0.00,10.00,0.00,14.00,24.00,10.00						
10	,0.61,1.00,0.00,0.00,11.00,0.00,15.00,26.00,11.00						
avg	,0.68,1.00,0.00,0.00,9.00,0.00,15.30,24.30,9.00						

