CSI	, adj_P_IS, adj_P_NS, adj_P, adj_R_IS, adj_R_NS, adj_R, arr_P_IS, arr_P_NS, arr_P, arr_R_IS, arr_R_NS, arr_R, added_IS, added_NS, added, removed_IS, removed_NS, removed, reoriented_IS, reoriented_NS, reoriented, shd_strict, shd_lenient, avgCSI, ll, llr						
1	,0.50,1.00,0.75,0.33,0.40,0.38,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,4.00,6.00,10.00,0.00,0.00,0.00,12.00,12.00,0.30,-2266.66,4008.92						
2	,1.00,1.00,1.00,0.25,0.33,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,4.00,10.00,1.00,1.00,2.00,12.00,10.00,0.60,-1781.96,3624.64						
3	,1.00,1.00,1.00,0.25,0.40,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,9.00,15.00,2.00,4.00,6.00,21.00,15.00,0.30,-7672.10,-1421.80						
4	,1.00,1.00,1.00,0.25,0.33,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,6.00,15.00,3.00,2.00,5.00,20.00,15.00,0.50,-867.03,220.13						
5	,0.40,1.00,0.62,0.33,0.30,0.31,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,4.00,7.00,11.00,0.00,3.00,3.00,17.00,14.00,0.40,-3461.10,2201.32						
6	,0.67,1.00,0.83,0.44,1.00,0.67,0.00,0.22,0.22,0.00,0.25,0.22,2.00,0.00,2.00,5.00,0.00,5.00,2.00,5.00,7.00,14.00,10.00,0.50,-3758.23,841.67						
7	,1.00,1.00,1.00,0.45,0.30,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,7.00,13.00,2.00,2.00,4.00,17.00,13.00,0.40,-1448.31,1150.76						
8	,0.67,1.00,0.80,0.40,0.67,0.50,0.50,1.00,0.67,0.50,0.50,0.50,2.00,0.00,2.00,6.00,2.00,8.00,0.00,1.00,1.00,11.00,10.00,0.40,-9847.67,3874.72						
9	,0.71,1.00,0.80,0.62,0.30,0.44,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,3.00,7.00,10.00,3.00,2.00,5.00,17.00,12.00,0.40,-3071.92,2003.57						
10	,0.88,1.00,0.92,0.47,0.67,0.52,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,8.00,2.00,10.00,4.00,3.00,7.00,18.00,11.00,0.50,-6427.93,525.28						
avg	,0.78,1.00,0.87,0.38,0.47,0.41,0.05,0.12,0.09,0.05,0.07,0.07,1.20,0.00,1.20,5.70,5.00,10.70,1.70,2.30,4.00,15.90,12.20,0.43,-4060.29,52.53						

POP	, adj_P_IS, adj_P_NS, adj_P, adj_R_IS, adj_R_NS, adj_R, arr_P_IS, arr_P_NS, arr_P, arr_R_IS, arr_R_NS, arr_R, added_IS, added_NS, added, removed_IS, removed_NS, removed, reoriented_IS, reoriented_NS, reoriented, shd_strict, shd_lenient, avgCSI, ll, llr						
1	,0.33,1.00,0.57,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,3.00,4.00,7.00,19.00,12.00,0.30,-6275.58,4008.92						
2	,0.36,1.00,0.48,1.00,0.83,0.93,0.17,0.83,0.50,0.33,0.62,0.55,14.00,0.00,14.00,0.00,1.00,1.00,6.00,1.00,7.00,22.00,15.00,0.60,-5406.61,3624.64						
3	,0.62,1.00,0.82,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,8.00,9.00,17.00,22.00,5.00,0.30,-6250.30,-1421.80						
4	,0.77,0.86,0.80,0.83,0.67,0.76,0.07,0.50,0.27,0.50,0.38,0.39,3.00,1.00,4.00,2.00,3.00,5.00,10.00,3.00,13.00,22.00,16.00,0.50,-1087.16,220.13						
5	,0.33,1.00,0.52,1.00,0.70,0.81,0.00,0.28,0.15,0.00,0.71,0.71,12.00,0.00,12.00,0.00,3.00,3.00,6.00,7.00,13.00,28.00,16.00,0.40,-5662.42,2201.32						
6	,0.43,1.00,0.56,1.00,1.00,1.00,0.00,0.25,0.25,0.00,0.38,0.33,12.00,0.00,12.00,0.00,0.00,0.00,4.00,5.00,9.00,21.00,14.00,0.50,-4599.90,841.67						
7	,0.61,1.00,0.75,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00,6.00,6.00,12.00,19.00,7.00,0.40,-2599.08,1150.76						
8	,0.45,1.00,0.57,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,6.00,2.00,8.00,20.00,12.00,0.40,-13722.39,3874.72						
9	,0.44,1.00,0.64,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,6.00,6.00,12.00,22.00,10.00,0.40,-5075.49,2003.57						
10	,0.68,1.00,0.75,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00,10.00,5.00,15.00,22.00,7.00,0.50,-6953.21,525.28						
avg	,0.50,0.99,0.65,0.98,0.92,0.95,0.02,0.19,0.12,0.08,0.21,0.20,9.40,0.10,9.50,0.20,0.70,0.90,6.50,4.80,11.30,21.70,11.40,0.43,-5763.21,52.53						

