POP old	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.23,0.33,0.10,0.00,20.00,6.00,26.00,21.00						
2	,1.00,0.27,0.00,0.00,0.00,19.00,1.00,20.00,19.00						
3	,1.00,0.21,0.00,0.00,0.00,22.00,2.00,24.00,22.00						
4	,1.00,0.26,0.00,0.00,0.00,20.00,4.00,24.00,22.00						
5	,1.00,0.32,0.00,0.00,0.00,19.00,0.00,19.00,19.00						
6	,1.00,0.32,0.60,0.14,0.00,17.00,6.00,23.00,19.00						
7	,1.00,0.14,0.00,0.00,0.00,24.00,4.00,28.00,24.00						
8	,1.00,0.25,0.00,0.00,0.00,21.00,5.00,26.00,21.00						
9	,1.00,0.25,0.00,0.00,0.00,21.00,7.00,28.00,21.00						
10	,1.00,0.22,0.50,0.07,0.00,21.00,3.00,24.00,21.00						
avg	,1.00,0.25,0.14,0.03,0.00,20.40,3.80,24.20,20.90						

POP new	, adj_P, adj_R, arr_P, arr_R, added, removed, reoriented, shd_strict, shd_lenient						
1	,1.00,0.46,0.58,0.35,0.00,14.00,8.00,22.00,15.00						
2	,1.00,0.50,0.00,0.00,0.00,13.00,5.00,18.00,13.00						
3	,1.00,0.29,0.00,0.00,0.00,20.00,2.00,22.00,20.00						
4	,1.00,0.41,0.50,0.20,0.00,16.00,6.00,22.00,18.00						
5	,1.00,0.39,0.00,0.00,0.00,17.00,0.00,17.00,17.00						
6	,0.90,0.36,0.57,0.19,1.00,16.00,6.00,23.00,19.00						
7	,1.00,0.25,0.00,0.00,0.00,21.00,0.00,21.00,21.00						
8	,1.00,0.32,0.00,0.00,0.00,19.00,8.00,27.00,19.00						
9	,1.00,0.25,0.00,0.00,0.00,21.00,7.00,28.00,21.00						
10	,1.00,0.33,0.67,0.27,0.00,18.00,3.00,21.00,18.00						
avg	,0.99,0.36,0.23,0.10,0.10,17.50,4.50,22.10,18.10						

